State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
NC,985,64,65,4,484,32,549,36,"1,534",100,2005,"8,705,407",0,1.13,0.3,0.54
NC,"1,005",65,57,4,496,32,553,35,"1,557",100,2004,"8,553,152",0,1.17,0.3,0.53
NC,977,64,80,5,474,31,554,36,"1,531",100,2003,"8,422,501",0,1.21,0.27,0.52
NC,974,62,67,4,533,34,601,38,"1,575",100,2002,"8,326,201",0,1.25,0.27,0.5
NC,"1,663",80,68,3,360,17,428,20,"2,091",100,2001,"8,210,122",0,1.23,0.25,0.51
NC,949,64,103,7,419,28,523,36,"1,472",100,2000,"8,081,614",0,1.19,0.23,0.52
ND,65,53,13,10,46,37,58,47,123,100,2005,"646,089",0,1.51,0.19,0.95
ND,61,61,5,5,35,35,39,39,100,100,2004,"644,705",0,1.5,0.18,0.83
ND,53,50,6,5,47,44,52,50,105,100,2003,"638,817",0,1.54,0.17,0.86
ND,49,50,8,8,40,41,48,50,97,100,2002,"638,168",0,1.51,0.16,0.84
ND,83,62,8,6,43,32,50,38,133,100,2001,"639,062",0,1.46,0.15,0.8
ND,45,52,5,6,36,42,41,48,86,100,2000,"642,023",0,1.47,0.15,0.79
NE,185,67,13,5,78,28,91,33,276,100,2005,"1,761,497",0,1.41,0.2,0.68
NE,162,64,14,5,78,31,92,36,254,100,2004,"1,749,370",0,1.43,0.19,0.64
NE,172,59,22,8,99,34,121,41,293,100,2003,"1,738,643",0,1.42,0.18,0.63
NE,190,62,21,7,97,31,117,38,307,100,2002,"1,728,292",0,1.45,0.17,0.61
NE,258,74,17,5,72,21,88,26,346,100,2001,"1,719,836",0,1.43,0.16,0.6
